"","x1","against_blm","for_blm","name","party","text","time","topic_blm"
"47",10140,0,0,"Doug Burgum","Republican","happy 73rd birthday to the 
@usairforce
! in north dakota, we're deeply grateful to have the 
@319thrw
 in grand forks and 
@teamminot
 working hard every day to protect our nation and defend our freedoms alongside the 
@ndnationalguard
, making our communities even safer and stronger.","2020-09-18 13:50:13",0
"48",10149,0,0,"Doug Burgum","Republican","david gipp dedicated his life to empowering native americans through education as 
@unitedtribesnd
 president and a national leader in tribal college education. deepest condolences to his family, the uttc community and 
@standingrockst
 as they mourn his loss and honor his legacy.","2020-09-12 1:44:33",0
"49",10151,0,0,"Doug Burgum","Republican","in 2019, suicide was the second leading cause of death for north dakotans between the ages of 10-34. we've proclaimed september as suicide prevention month to bring attention to this public health crisis and the services available for individuals to find help, hope and recovery.","2020-09-10 15:10:17",0
"50",10159,NA,NA,"Doug Burgum","Republican","camp grafton is a prime location for this facility, which will produce a talented pool of bia & tribal police officers closer to their homes, families and culturally important ties. grateful to 
@interior
, sen. hoeven, mg al dohrmann & tribal partners for their work on this.","2020-09-03 17:27:18",1
"51",10161,0,0,"Doug Burgum","Republican","appreciate 
@usda
 under secretary jim hubbard meeting with ranchers and energy producers this morning to discuss how we can be good environmental stewards while improving responsiveness to the needs of north dakotans. thanks to 
@senjohnhoeven
 and 
@senkevincramer
 for hosting.","2020-09-02 21:20:06",0
"52",10166,0,0,"Doug Burgum","Republican","join us for the 2020 main street summit! this year's theme of building resilient communities will bring together local and national experts to discuss best practices and the future of north dakota's communities. reserve your space today at http://mainstreetsummitnd.com!","2020-08-30 19:32:36",0
"53",10174,0,0,"Doug Burgum","Republican",".
@brentsanfordnd
 and i have long championed the opportunity to harness co2 as an input for value-added industries. 
@jamestownnd
’s announcement today of a planned commercial greenhouse is great news for agriculture and nd's economy as a whole!","2020-08-25 22:32:21",0
"54",10185,0,0,"Doug Burgum","Republican","the video playlist from the 2020 governor's summit on innovative education is now available!

watch our conversations with education innovators like 
@khanacademy
's sal khan, 
@firstweets
 founder dean kamen and 
@curriki
 co-founder scott mcnealy. https://youtube.com/playlist?list=pltqg3f6pu3lwbd_sadunzs6oxmaihnhlr…","2020-08-14 21:05:20",0
"55",10202,0,0,"Doug Burgum","Republican","this week, north dakota passed a testing milestone. more than 20 percent of our population has now been tested for covid-19 at least once. locate a testing site near you: http://health.nd.gov/testnd","2020-08-01 23:16:42",0
"56",10204,0,0,"Doug Burgum","Republican","honored to be a part of today's promotion ceremony for 
@ndhighwaypatrol
 lt. steve johnson. grateful for his excellent leadership during his time with capitol security and continued dedication serving alongside the sworn officers of the highway patrol who keep nd safe & secure!","2020-07-31 21:31:22",0
"57",10209,0,0,"Doug Burgum","Republican","let’s go big on fighting covid-19, north dakota! protect your herd, your flock and your community.

you can make a difference: maintain six feet of distance, wear a mask when appropriate and wash your hands often. #inthistogethernd","2020-07-29 19:15:29",0
"58",10216,0,0,"Doug Burgum","Republican","this week's covid-19 press briefing begins at approximately 3:30 p.m. ct. we'll discuss testing, higher education and business resources. tune in below!","2020-07-22 20:28:16",0
"59",10217,0,0,"Doug Burgum","Republican","thanks to the 1,300+ amazing educators, administrators, elected officials, parents and stakeholders who made this year’s summit on innovative education a success! check out this recap of speakers, award recipients and north dakota’s opportunity to lead.","2020-07-21 23:52:28",0
"60",10259,0,0,"Doug Burgum","Republican","incredibly grateful for the blessing of being a dad to joe, jesse and tom and for all that i learn from them each and every day. happy father's day to dads of all ages!","2020-06-21 13:06:04",0
"61",10263,0,1,"Doug Burgum","Republican","friday has been proclaimed juneteenth celebration day in north dakota. we encourage north dakotans to observe and learn more about this day commemorating the end of slavery, as we renew our commitment to the ideals of democracy and liberty, justice and equality for all citizens.","2020-06-17 21:52:29",1
"62",10267,0,0,"Doug Burgum","Republican","catch up on all of the latest news in this week's dakota download.","2020-06-15 22:59:50",0
"63",10279,NA,NA,"Doug Burgum","Republican","this week, north dakotans have organized peaceful demonstrations in cities across the state, calling for justice and equality in the wake of the george floyd tragedy. we hear you, and as always, we are here to work together to make our great state an even better place to live.","2020-06-05 17:25:15",1
"64",10286,1,0,"Doug Burgum","Republican","in north dakota, we protect the safety of our citizens and the right to protest peacefully. grateful for the actions of these leaders and law enforcement to ensure both happened yesterday, and for everyone helping with cleanup today. #ndstrong #fargostrong","2020-05-31 16:34:30",1
"65",10288,0,1,"Doug Burgum","Republican","all citizens have the right to peacefully and lawfully assemble and protest; we are committed to protecting those rights. additional state resources are necessary to help relieve distress due to activity that threatens the safety, health and welfare of the citizens of nd.","2020-05-31 4:01:00",1
"66",10289,NA,NA,"Doug Burgum","Republican","at the request of local authorities, we have declared a state of emergency and activated the 
@ndnationalguard
 in fargo, west fargo & cass county. the rule of law must be enforced to protect the public, protesters and first responders from illegal activity.","2020-05-31 04:01:00",1
"67",10293,NA,NA,"Doug Burgum","Republican","we ask all north dakotans to pray for his loved ones, for the recovery of the injured deputy & for the continued safety of all law enforcement officers. this is a tragic reminder of the risk our brave officers face every day when they put on the badge to protect our communities.","2020-05-28 03:39:17",1
"68",10294,1,0,"Doug Burgum","Republican","kathryn and i extend our deepest condolences to the family of the grand forks police officer who made the ultimate sacrifice today in the line of duty.","2020-05-28 3:39:17",1
"69",10302,0,0,"Doug Burgum","Republican","following widespread spring flooding estimated to have caused more than $40 million in damage to roads and other public infrastructure, today we requested a presidential major disaster declaration for 21 counties in north dakota. read more:","2020-05-22 22:53:09",0
"70",10314,NA,NA,"Doug Burgum","Republican","on peace officers memorial day, we honor the heroic law enforcement officers who laid down their lives in service and protection of our communities, our citizens and our freedoms. https://governor.nd.gov/sites/www/files/documents/proclamations/police%20week%20-%20peace%20officer%20memorial%20day%202020.pdf…","2020-05-15 14:31:23",1
"71",10316,0,0,"Doug Burgum","Republican","""man, that team is really good.""
@potus
 wants to see 
@ndsufootball
 back at the white house. #gobison","2020-05-13 23:40:05",0
"72",10324,0,0,"Doug Burgum","Republican","since announcing #ndsmartrestart, we’ve averaged 1,741 tests/day, just shy of our 1,800/day goal. we’ve climbed to 3rd in the u.s. in per capita testing as we’re working through supply/equipment issues and shifting from drive-through testing to a more targeted approach.","2020-05-10 18:35:57",0
"73",10335,0,0,"Doug Burgum","Republican","north dakota’s exceptional teachers continue to provide a top-notch education for our students through distance learning. on #nationalteacherday – and all throughout north dakota teacher appreciation week – we celebrate the innovation and dedication of north dakota’s educators.","2020-05-05 21:17:16",0
"74",10339,0,0,"Doug Burgum","Republican","icymi: k-12 schools will continue distance learning for the rest of the academic year. we're deeply grateful to our teachers and administrators for developing plans to continue educating north dakota's students.","2020-05-03 0:09:47",0
"75",10343,0,0,"Doug Burgum","Republican","we'll be discussing the budget guidelines for the 2021-23 biennium at 11 a.m. ct. join us for an update on the state revenue outlook. watch here:","2020-05-01 16:01:31",0
"76",12638,0,0,"Doug Ducey","Republican","four more days until four more years! 
@realdonaldtrump
 @mike_pence
","2020-10-30 22:15:49",0
"77",12668,0,0,"Doug Ducey","Republican","today is the last recommended day to mail in your ballot 
 

if you don’t mail it out today, drop it off at any voting location or secure ballot-drop box in your county by 7 p.m. on election day.","2020-10-27 16:08:12",0
"78",12673,0,0,"Doug Ducey","Republican","those experiencing domestic violence can access resources and support across the state. from hotlines, to safety planning, counseling and much more, help is available. 

more here: https://goyff.az.gov/domesticviolence/resources… 
@azgoyff
 #enddvinaz #itcanstop #dvawarenessmonth","2020-10-26 21:26:39",0
"79",12677,0,0,"Doug Ducey","Republican","his passionate and powerful voice will be missed greatly at sunday services and in the halls of our state legislature, and arizona is profoundly thankful for his life of service. my sincere condolences go out to his loved ones, parishioners and all who knew him. 4/4","2020-10-26 15:31:41",0
"80",12680,NA,NA,"Doug Ducey","Republican","it is with immense sadness that we say goodbye to an arizona treasure and great man, dr. c.t. wright. a pastor, teacher, criminal justice expert, public servant and civic leader, dr. wright lived a life defined by hard work and faith. 1/","2020-10-26 15:30:21",1
"81",12689,0,0,"Doug Ducey","Republican","“when the dust settled as the second quarter ended, june 30, 2020 –  also the first quarter for the pandemic – arizona saw a net increase of nearly 20,000 new businesses, according to fred.”

https://bizjournals.com/phoenix/news/2020/10/20/growing-inside-and-from-outside-means-strong-2021.html… 
@phxbizjournal","2020-10-23 20:38:09",0
"82",12699,0,0,"Doug Ducey","Republican","i hear 
@joebiden
 is out there attacking the “republican governor of arizona.” i guess he *does* see “red and blue” states after all. but if you’re going after az, joe, get your facts straight… 1/","2020-10-23 20:27:08",0
"83",12716,0,0,"Doug Ducey","Republican","thank you to 
@foodbanktucson
 and these incredible volunteers for supporting families in need! #aztogether","2020-10-21 16:06:25",0
"84",12752,0,0,"Doug Ducey","Republican","from employment opportunities to rental assistance, information on health care and more, resources are available for individuals and families across the state. 
 
details: https://arizonatogether.org/#individual-resources… #aztogether 
@arizonatogether","2020-10-14 21:12:20",0
"85",12756,0,0,"Doug Ducey","Republican","thank you, 
@ncaawbb
! no state provides a better experience for fans and players. arizona can’t wait to host another mega-sporting event in 2026! #wfinalfour","2020-10-14 17:40:03",0
"86",12758,0,0,"Doug Ducey","Republican","resources and support are available for victims and survivors of domestic violence.

national domestic violence hotline: 1-800-799-7233

more: https://goyff.az.gov/content/domestic-sexual-violence/… 
@azgoyff
 @ndvh
 #enddvinaz #dvawarenessmonth #itcanstop","2020-10-13 22:14:30",0
"87",12774,0,0,"Doug Ducey","Republican","kayla mueller was an american hero. and with this painting, her life, legacy and sacrifice will live on forevermore.","2020-10-09 22:53:21",0
"88",12782,NA,NA,"Doug Ducey","Republican","as we honor kayla mueller’s life and remember the bold operation that brought justice to her killers, we express our deepest appreciation to everyone who serves our nation in uniform. we are thankful for, and indebted to, each and every one of them. 
@aznationalguard
","2020-10-08 20:36:10",1
"89",12795,0,0,"Doug Ducey","Republican","these tests will go a long way in protecting our communities and keeping our economy up and running. thank you to 
@potus
 and the administration for the continued support! 2/2","2020-10-06 18:27:21",0
"90",12803,0,0,"Doug Ducey","Republican","register to vote for the november 3rd general election by the end of the day if you haven’t already! 
https://servicearizona.com/voterregistration/selectlanguage…","2020-10-06 0:05:35",0
"91",12804,0,0,"Doug Ducey","Republican","looking for ways to give back to your community?
@arizonatogether
 has information on ways to volunteer and support those in need: https://arizonatogether.org/#volunteer #aztogether","2020-10-05 21:37:46",0
"92",12809,0,0,"Doug Ducey","Republican","arizona’s prayers are with representative sierra and his wife, rhonda, as they battle covid-19. we are thinking of them and their entire family.","2020-10-05 15:00:47",0
"93",12827,NA,NA,"Doug Ducey","Republican","thank you 
@allisteradel
 for your support and leadership to protect law enforcement officers and our communities.","2020-09-30 21:30:47",1
"94",12831,0,0,"Doug Ducey","Republican","increasing public trust and keeping our state troopers safe are issues on which we can all agree. this is an important first step to expanding body-worn cameras to all state troopers, but it should not be the last. 3/","2020-09-30 17:02:44",0
"95",12841,0,0,"Doug Ducey","Republican","the toledo blade...paper of record for my entire youth. 
still miss the family circus in the peach section.                                                            
@toledonews","2020-09-29 17:44:38",0
"96",12892,0,0,"Doug Ducey","Republican","as part of america’s greatest generation, george and his fellow airmen will be a cherished part of our nation’s history forever. we are grateful for his service. my sincere condolences go out to his family. #rip 5/5","2020-09-22 18:00:03",0
"97",12920,0,0,"Doug Ducey","Republican","the 
@secondlady
 is a true champion of military families. thank you, second lady 
@karenpence
, for leading the charge to care for military servicemembers, spouses and families across arizona and the entire nation.","2020-09-17 22:59:51",0
"98",12960,0,0,"Doug Ducey","Republican","take a moment today to respond to the 2020 census if you haven’t already. it’s safe, easy and important! 

more information here: http://azcensus2020.gov 
@azcensus2020
 #azcounts","2020-09-14 17:15:44",0
"99",12981,NA,NA,"Doug Ducey","Republican","on this solemn anniversary and every day, arizona is grateful to all the men and women who put themselves in harm’s way to serve others: our law enforcement, firefighters, first responders, medical professionals and our soldiers, sailors, airmen, marines, and coast guardsmen.","2020-09-11 13:30:00",1
"100",13004,0,0,"Doug Ducey","Republican","arizona is incredibly grateful to dr. rita cheng for her dedicated years of service to our students and the 
@nau
 community. for over six years, dr. cheng brought vision and a commitment to excellence to northern arizona university. 1/","2020-09-08 20:38:20",0
"101",13005,0,0,"Doug Ducey","Republican","i had the pleasure to meet with carl and marsha mueller today as they stopped by the state capitol. arizona will never forget the courage and selflessness of their daughter, kayla.","2020-09-08 20:01:43",0
"102",13022,0,0,"Doug Ducey","Republican","""... arizona is now a top destination state for qualified professionals looking for a better place to work, raise a family and retire."" https://thecentersquare.com/national/op-ed-how-some-states-are-winning-the-battle-to-attract-new-residents/article_aa94b184-edec-11ea-b845-cbfbdfd0ea70.amp.html… 
@thecentersquare","2020-09-03 18:12:15",0
"103",13030,0,0,"Doug Ducey","Republican","rebecca’s experience and commitment to the court community will allow her to excel immediately in pinal county. i am delighted to appoint rebecca padilla as the pinal county clerk of the superior court!","2020-09-02 18:33:10",0
"104",13032,0,0,"Doug Ducey","Republican","arizona #covid19 update:","2020-09-02 17:54:02",0
"105",13034,0,0,"Doug Ducey","Republican","happy birthday, 
@aznationalguard
! thank you for all that you do to support, protect and serve arizona. #alwaysreadyalwaysthere","2020-09-02 16:25:57",0
"106",13043,0,0,"Doug Ducey","Republican","it’s not too early to get your flu shot, and the flu vaccine is currently available.

we’ve been able to make significant progress in the fight against covid-19. we can’t let up now. find out more at http://azhealth.gov 5/5","2020-08-31 22:15:00",0
"107",13049,0,0,"Doug Ducey","Republican","just had a call with 
@vp
 to discuss #covid19 updates. grateful to all arizonans who have done their part to follow health guidance and protect our communities, and to the administration for the continued support.","2020-08-31 21:53:07",0
"108",13050,0,0,"Doug Ducey","Republican","“arizona recorded the smallest one-day increase in cases since mid-may and its testing positivity rate does continue to decline.” 
@cnbc","2020-08-31 20:15:57",0
"109",13057,0,0,"Doug Ducey","Republican","on this day, august 29, 1869, geologist john wesley powell safely completed the first u.s. government survey of the grand canyon. 1/","2020-08-29 22:59:46",0
"110",13067,NA,NA,"Doug Ducey","Republican","i was honored to meet with carl and marsha mueller earlier this year. their daughter, kayla, was a hero who had dedicated her life to serving others. 

arizona is grateful to president trump and the brave american service members who brought justice to their family.","2020-08-28 01:56:00",1
"111",13072,NA,NA,"Doug Ducey","Republican","in response to a request by wisconsin 
@govevers
, arizona is sending more than 150 
@aznationalguard
 troops to support law enforcement capacity in the state. arizona supports public safety, everywhere — and we stand with wisconsin now in their time of need. 1/","2020-08-27 21:22:25",1
"112",13074,0,0,"Doug Ducey","Republican","thank you to the members of arizona task force 1 providing aid in louisiana in response to #hurricanelaura. 
@phxfire","2020-08-27 17:02:29",0
"113",13089,0,0,"Doug Ducey","Republican","“travelers from arizona, alaska, delaware, maryland and montana will no longer be required to quarantine for 14 days upon arrival…” 

more via 
@dandc
","2020-08-26 18:12:26",0
"114",13093,0,0,"Doug Ducey","Republican","“they’ve really done an excellent job in arizona.” 
@foxnews
arizonans deserve immense credit for bringing our numbers down. let’s keep this going.","2020-08-26 1:40:01",0
"115",13097,0,0,"Doug Ducey","Republican","please take time today to respond to the 2020 census if you haven’t done so already. it’s safe, easy and important… and it’s our civic responsibility! 

more information: http://azcensus2020.gov 
@azcensus2020
 #azcounts","2020-08-25 22:17:18",0
"116",13101,0,0,"Doug Ducey","Republican","arizona will always honor john mccain. to cindy and the entire mccain family, arizona’s thoughts and prayers are with you today. 4/4","2020-08-25 13:27:57",0
"117",13109,0,0,"Doug Ducey","Republican","shoebox ministry, based in phoenix, is collecting hygiene kits to donate to crossroads, which supports those facing substance abuse issues. https://fox10phoenix.com/video/840499 
@shoeboxministry
 8/","2020-08-24 21:06:09",0
"118",13114,0,0,"Doug Ducey","Republican","unitedhealthcare provided the pima council on aging $50,000 to provide meals to homebound seniors. https://tucson.com/business/giving-back-in-southern-arizona/article_08cd9f74-3722-5105-8a51-88fbc00d6aa7.html… 
@pcoaging
 @uhc
 3/","2020-08-24 21:02:40",0
"119",13118,0,0,"Doug Ducey","Republican","looking to give back?

opportunities to volunteer and support your communities are available across the state. here are some ways you can help: https://arizonatogether.org/#volunteer 
@arizonatogether
 #aztogether","2020-08-24 19:15:00",0
"120",13150,0,0,"Doug Ducey","Republican","additionally, 
@azcommerce
 has helped arizona manufacturers pivot their operations to produce personal protective equipment critical for keeping arizonans safe during #covid19. details:","2020-08-19 19:15:07",0
"121",13174,0,0,"Doug Ducey","Republican","these dollars come from generous donations from individuals, businesses & organizations to the az coronavirus relief fund. thank you to all who have donated to support fellow arizonans, & to the organizations that continue provide safe options for domestic violence survivors. 2/","2020-08-17 16:05:41",0
"122",13176,0,0,"Doug Ducey","Republican","this month, arizona is proud to celebrate the 100th anniversary of the ratification of the 19th amendment and recognize those who worked to secure this fundamental right. #womensvote100 #suffragemonth","2020-08-16 16:55:08",0
"123",13183,0,0,"Doug Ducey","Republican","#covid19 testing available:","2020-08-14 20:19:35",0
"124",13198,NA,NA,"Doug Ducey","Republican","#otd last year, i was honored to sign #hb2570 to establish a 21-member study committee on missing and murdered indigenous women and girls. 

thank you to the families and advocates who continue to lead this fight for answers and justice. #tbt #mmiw","2020-08-13 17:13:24",1
"125",13214,NA,NA,"Doug Ducey","Republican","arizona’s women and men in law enforcement are heroes. we are grateful for their unwavering bravery and service to our communities. honored to join 
@vp
, @senmcsallyaz & the arizona police association today to express our support for those who protect us every day. 
@policearizona","2020-08-11 18:57:04",1
"126",13222,0,0,"Doug Ducey","Republican","arizona, let’s continue to stay physically distant and mask up!","2020-08-10 19:44:27",0
"127",13224,0,0,"Doug Ducey","Republican","thread","2020-08-10 17:38:37",0
"128",13234,0,0,"Doug Ducey","Republican","#maskupaz","2020-08-07 18:14:21",0
"129",13291,0,0,"Doug Ducey","Republican","reminder: resources and assistance for businesses during #covid19 has been made available via 
@azcommerce
 and can be found here: https://azcommerce.com/covid-19/ 2/2","2020-07-29 21:20:32",0
"130",13295,0,0,"Doug Ducey","Republican","we’ll continue to monitor this situation closely and make all support available. 3/3","2020-07-29 17:00:41",0
"131",13298,0,0,"Doug Ducey","Republican","thank you to all first responders battling this fire. 
@tempepolice
 @arizona_dps","2020-07-29 15:13:24",0
